14-Aug-20,GRAB*ADR-8316829-9-385 SINGAPORE SG, S$13.70 
15-Aug-20,BUS/MRT 41641101 SINGAPORE SG, S$0.92 
16-Aug-20,MCDONALD'S (BWC) SINGAPORE SG, S$21.25 
17-Aug-20,GRAB*ADR-8316829-9-386 SINGAPORE SG, S$14.90 
19-Aug-20,BUS/MRT 42033042 SINGAPORE SG, S$1.84 
20-Aug-20,BUS/MRT 42131950 SINGAPORE SG, S$3.96 
21-Aug-20,BUS/MRT 42251984 SINGAPORE SG, S$2.40 
21-Aug-20,GRAB*ADR-8316829-9-387 SINGAPORE SG, S$7.00 
23-Aug-20,CATHAY CINEPLEXES PTE SINGAPORE SG, S$26.50 
23-Aug-20,GOJEK, S$7.90 
24-Aug-20,GRAB*ADR-8316829-9-388 SINGAPORE SG, S$13.70 
26-Aug-20,GRAB*ADR-8316829-9-390 SINGAPORE SG, S$7.00 
28-Aug-20,GOJEK, S$12.30 
28-Aug-20,HAI DI LAO-IMM SINGAPORE SG, S$101.20 
29-Aug-20,GRAB*ADR-8316829-9-392 SINGAPORE SG, S$21.85 
31-Aug-20,BUS/MRT 43310257 SINGAPORE SG, S$2.48 
1-Sep-20,BUS/MRT 43382320 SINGAPORE SG, S$2.66 
4-Sep-20,MEATSMITH SINGAPORE SG, S$51.40 
5-Sep-20,GRAB*GRAB* DR-8316829- SINGAPORE SG, S$14.90 
6-Sep-20,GRAB*GRAB* DR-8316829- SINGAPORE SG, S$10.00 
6-Sep-20,GRAB*GRAB* DR-8316829- SINGAPORE SG, S$12.00 
6-Sep-20,GRAB*GRAB* DR-8316829- SINGAPORE SG, S$8.00 
7-Sep-20,BUS/MRT 44071209 SINGAPORE SG, S$1.64 
7-Sep-20,YAKUN SMU SINGAPORE SG, S$3.15 
7-Sep-20,GOOGLE*SQUARE ENIX SINGAPORE SG, S$6.84 
9-Sep-20,APPLE.COM/BILL CORK IE, S$4.02 
9-Sep-20,BUS/MRT 44292509 SINGAPORE SG, S$1.64 
10-Sep-20,GOOGLE*GOOGLE STORAGE SINGAPORE SG, S$2.79 
10-Sep-20,GOOGLE*SQUARE ENIX SINGAPORE SG, S$17.98 
11-Sep-20,SUBWAY @ SMU-MM SINGAPORE SG, S$5.95 
11-Sep-20,GOOGLE*SQUARE ENIX SINGAPORE SG, S$10.98 
12-Sep-20,GOJEK, S$19.50 
13-Sep-20,GRAB*GRAB* DR-8316829- SINGAPORE SG, S$7.00 
14-Sep-20,GRAB*GRAB* DR-8316829- SINGAPORE SG, S$19.20 
14-Sep-20,LAZADA SINGAPORE SINGAPORE SG, S$72.90 
